date,close,high,low,n,open,t,volume,vw,symbol,instrument_type
7/27/2020,94.81,94.905,93.48,342422,93.71,1.60E+12,121199392,94.3839,AAPL,Equity
7/28/2020,93.2525,94.5497,93.2475,277120,94.3675,1.60E+12,103581500,93.8305,AAPL,Equity
7/29/2020,95.04,95.23,93.7125,260932,93.75,1.60E+12,90329256,94.5805,AAPL,Equity
7/30/2020,96.19,96.2975,93.7675,516222,94.1875,1.60E+12,158116020,96.4895,AAPL,Equity
7/31/2020,106.26,106.415,100.825,1145107,102.8838,1.60E+12,374295468,103.4718,AAPL,Equity
8/3/2020,108.9375,111.6364,107.8925,979838,108.2,1.60E+12,308150416,109.658,AAPL,Equity
8/4/2020,109.665,110.79,108.3875,527331,109.1325,1.60E+12,172688068,109.6574,AAPL,Equity
8/5/2020,110.0625,110.3925,108.8975,387414,109.3775,1.60E+12,121991952,109.6622,AAPL,Equity
8/6/2020,113.9025,114.4125,109.7975,585117,110.405,1.60E+12,202411900,112.4859,AAPL,Equity
8/7/2020,111.1125,113.675,110.2925,648627,113.205,1.60E+12,198019812,111.9905,AAPL,Equity
8/10/2020,112.7275,113.775,110,642375,112.6,1.60E+12,212402024,112.3171,AAPL,Equity
8/11/2020,109.375,112.4825,109.1067,625323,111.9688,1.60E+12,187902376,111.0004,AAPL,Equity
8/12/2020,113.01,113.275,110.2975,515437,110.4975,1.60E+12,165942820,112.2537,AAPL,Equity
8/13/2020,115.01,116.0425,113.9275,633333,114.43,1.60E+12,210082064,114.9724,AAPL,Equity
8/14/2020,114.9075,115,113.045,538654,114.8288,1.60E+12,165423808,114.1782,AAPL,Equity
8/17/2020,114.6075,116.0875,113.9625,435125,116.0625,1.60E+12,119561044,114.8375,AAPL,Equity
8/18/2020,115.5625,116,114.0075,388889,114.3525,1.60E+12,105633540,115.2166,AAPL,Equity
8/19/2020,115.7075,117.1625,115.61,499399,115.9833,1.60E+12,145538008,116.4218,AAPL,Equity
8/20/2020,118.275,118.392,115.7334,472757,115.75,1.60E+12,126871188,117.3864,AAPL,Equity
8/21/2020,124.37,124.868,119.25,1092109,119.2625,1.60E+12,337454640,122.6605,AAPL,Equity
8/24/2020,125.8575,128.785,123.9363,1287610,128.6975,1.60E+12,345905768,126.3212,AAPL,Equity
8/25/2020,124.825,125.1793,123.0525,761144,124.6975,1.60E+12,211234408,124.1912,AAPL,Equity
8/26/2020,126.5225,126.9925,125.0825,627481,126.1791,1.60E+12,162473268,126.0815,AAPL,Equity
8/27/2020,125.01,127.485,123.8325,679923,127.1425,1.60E+12,155516384,125.6908,AAPL,Equity
8/28/2020,124.8075,126.4425,124.5775,690493,126.0125,1.60E+12,187529916,125.3296,AAPL,Equity
8/31/2020,129.04,131,126,2753245,127.58,1.60E+12,225631664,128.9302,AAPL,Equity
9/1/2020,134.18,134.8,130.53,1494243,132.76,1.60E+12,152050116,132.8458,AAPL,Equity
9/2/2020,131.4,137.98,127,1841705,137.59,1.60E+12,200117202,131.6134,AAPL,Equity
9/3/2020,120.88,128.84,120.5,2360712,126.91,1.60E+12,257589206,123.526,AAPL,Equity
9/4/2020,120.96,123.7,110.89,2966979,120.07,1.60E+12,332549990,117.9436,AAPL,Equity
9/8/2020,112.82,118.99,112.68,2003625,113.95,1.60E+12,231349531,115.3956,AAPL,Equity
9/9/2020,117.32,119.14,115.26,1308828,117.26,1.60E+12,176833475,117.4152,AAPL,Equity
9/10/2020,113.49,120.5,112.5,1444575,120.36,1.60E+12,182274291,116.0457,AAPL,Equity
9/11/2020,112,115.23,110,1405577,114.57,1.60E+12,180846525,112.0421,AAPL,Equity
9/14/2020,115.355,115.93,112.8,1013512,114.72,1.60E+12,140112337,114.5795,AAPL,Equity
9/15/2020,115.54,118.829,113.61,1290594,118.33,1.60E+12,183786539,116.4171,AAPL,Equity
9/16/2020,112.13,116,112.04,1186032,115.23,1.60E+12,154719375,113.639,AAPL,Equity
9/17/2020,110.34,112.2,108.71,1363245,109.72,1.60E+12,177056468,110.1388,AAPL,Equity
9/18/2020,106.84,110.88,106.09,1650704,110.4,1.60E+12,287076882,107.7831,AAPL,Equity
